Category,Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer
Algorithmic,22,"Which algorithm design technique breaks a problem into overlapping subproblems?","Dynamic programming","Divide and conquer","Brute force","Greedy approach",a
Algorithmic,23,"What's the best way to sort an unsorted list quickly?","Linear search","Bubble sort","Quick sort","Brute force",c
Algorithmic,24,"A greedy algorithm always selects the best choice at each step. This leads to:","Optimal solution","Sub-optimal solution","Random solution","No solution",b
Algorithmic,25,"Which of these is a property of a recursive algorithm?","It solves the entire problem in one step","It has no base case","It uses an iterative loop","It calls itself",d
Computational,1,"You need a to-do list for study. Which option best represents an algorithm?","Writing random thoughts","Listing step-by-step actions","Reading without planning","Skipping tasks",b
Computational,2,"A recipe says: "Boil water → Add tea → Add sugar → Stir → Serve." This is an example of:","Random activity","Storytelling","Step-by-step procedure","Guesswork",c
Computational,3,"Which shows pattern recognition?","Plants grow faster in sunlight","Watching a movie","Reading a novel","Changing ringtone",a
Computational,4,"In a biology experiment, you repeat the process with 5 samples. What computational concept is this?","Abstraction","Repetition (loop)","Sorting","Debugging",b
Computational,5,"A fruit-sorting machine separates ripe and unripe fruits by color. Which concept is used?","Pattern recognition","Random guessing","Sorting randomly","Naming fruits",a
Computational,6,"When you summarize only important steps in solving a math problem, this is:","Guessing","Abstraction","Memorization","Visualization",b
Computational,7,"Which of these is an example of decomposition?","Breaking a computer into parts: CPU, memory, I/O","Memorizing facts","Random guessing","Ignoring details",a
Computational,8,"You observe mosquitoes breed in stagnant water. You create a plan to clean standing water. This shows:","Brute force","Pattern recognition and abstraction","Random behavior","Linear thinking",b
Computational,9,"Which task most requires computational thinking?","Writing a letter","Drawing a picture","Designing a new app","Reading a book",c
Computational,10,"A chess player analyzes a position by breaking it into smaller parts (pieces, squares). This is an example of:","Pattern recognition","Decomposition","Algorithmic thinking","Abstraction",b
Computational,11,"A car's GPS finds the shortest route. It applies:","Random choice","Greedy algorithm","Sorting","Optimization algorithm",d
Computational,12,"A spreadsheet automatically calculates a sum after you enter numbers. This is a form of:","Random action","Manual task","Algorithmic thinking","Automated computation",d
Computational,13,"Which is an example of debugging?","Writing new code","Planning a project","Finding and fixing an error in a program","Reading documentation",c
Computational,14,"Which is a good example of a data structure?","A random list of words","A list of groceries","A list of items sorted alphabetically","A bunch of unrelated files",b
Computational,15,"A machine learning model identifies cats in photos. This is based on:","Random guessing","Pattern recognition","Linear search","Brute force",b
Computational,16,"What is the purpose of an algorithm in computational thinking?","To create randomness","To provide a step-by-step solution","To increase complexity","To make problems harder",b
Computational,17,"Which is a good example of abstraction?","A detailed drawing of a car engine","A simple drawing of a car","A full-scale model of a car","A list of all car parts",b
Computational,18,"A doctor's diagnostic flow: "If fever>101°F → Check infection → If yes, suggest antibiotic." This is an example of:","Guessing","Algorithm with conditionals","Random choice","Storytelling",b
Computational,19,"Testing blood samples Group A→B→C for 5 patients is applying:","Debugging","Looping through a list","Filtering data","None",b
Computational,20,"A decision tree: If answer=No, go left; If Yes, go right. This logic is:","Guessing","Sequential flow","Binary decision making","Random choice",c
Computational,21,"You plan alternate study days for biology and programming, with weekly review. This shows:","Poor management","Scheduling algorithm","Random habit","Memorization",b
Computational,22,"Which concept is used when filtering large data sets to show only relevant fields?","Sorting","Abstraction","Decomposition","Filtering",b
Computational,23,"A student designs a simulation to predict weather using past data. This applies:","Pattern recognition","Abstraction","Randomization","Guessing",a
Computational,24,"Which step in computational thinking is MOST related to reusing existing code libraries?","Abstraction","Pattern recognition","Decomposition","Debugging",a
Computational,25,"A smart fridge detects items and creates a shopping list. Which concept is dominant?","Sorting","Pattern recognition","Random sampling","Guessing",b
Creative,1,"Which of the following is an example of creative thinking?","Memorizing a formula","Solving a math problem in a new way","Copying someone's notes","Repeating learned steps",b
Creative,2,"You have a box, a candle, matches, and thumbtacks. How can you fix the candle to the wall without dripping wax?","Stick the candle to the wall","Melt wax and glue it","Use the box as a candle holder and tack it to the wall","Hold the candle with hand",c
Creative,3,"If cars never existed, which innovative alternative might evolve for transport?","Horses only","Rocket backpacks","AI-powered flying carpets or smart vehicles","None",c
Creative,4,"Which book title is the most creative for Artificial Intelligence?","AI Basics","Thinking Machines","Computer Science Notes","Robots and Humans",b
Creative,5,"Which option demonstrates "thinking outside the box"?","Using the same method repeatedly","Finding multiple different solutions to a problem","Giving up on a problem","Memorizing solutions",b
Creative,6,"If pens were never invented, which alternative would people imagine for writing?","Speaking words loudly","Drawing in the sand","Using sticks dipped in ink or digital stylus","None",c
Creative,7,"Which of these is an example of combining ideas?","Sleeping instead of working","A phone that is also a camera and music player","A broken laptop","A chair without a seat",b
Creative,8,"A city has too much traffic. Which solution shows creative thinking?","Build more roads only","Introduce flying taxis or underground walkways","Ban all cars forever","Do nothing",b
Creative,9,"A company designs a backpack students love. Which approach is creative?","Copy an existing design","Ask students for new features they want","Make only larger bags","Add random patterns",b
Creative,10,"Which is a sign of creativity?","Sticking to one method","Generating many different ideas for a single problem","Memorizing known answers","Refusing to take risks",b
Creative,11,"Which invention best shows combining unrelated fields?","A normal bicycle","A smartwatch that tracks heartbeat and calls emergency services","A car without wheels","A simple calendar",b
Creative,12,"You need to keep a drink cool without a fridge. Which solution is creative?","Leave it under the sun","Wrap it in a wet cloth and place it in the breeze","Drink it warm","Pour it on ice cream",b
Creative,13,"A game designer wants a new mobile game. Which idea shows creativity?","Copying a popular game","Mixing puzzles with music beats","Releasing the same version again","Using existing graphics only",b
Creative,14,"Which is the most creative use for an empty glass jar?","Throw it away","Use as a pencil holder, light jar, or mini plant pot","Keep it empty","Smash it",b
Creative,15,"A teacher asks students to design a future school. Which design is creative?","Draws current building","Imagines floating classrooms with AI assistants","Copies another design","Leaves the page blank",b
Creative,16,"A city faces power cuts. Which sustainable plan is creative?","Use diesel generators","Switch to solar-powered smart grids with storage batteries","Cut power for half the city","Increase bills to reduce usage",b
Creative,17,"Which product is an example of creative innovation?","A smartphone with a bigger screen","A foldable phone that becomes a tablet","A wired telephone","A calculator",b
Creative,18,"You design a chair that never tips over. Which feature is unique?","Normal four legs","Self-balancing gyroscope technology","A flat board","A chair without legs",b
Creative,19,"A community has excess rainwater flooding roads. Which solution is creative?","Build more drains","Collect rainwater in rooftop tanks for reuse","Do nothing","Make the ground concrete",b
Creative,20,"Which approach is NOT creative thinking?","Brainstorming freely","Asking "What if" questions","Copying old solutions blindly","Combining ideas from different areas",c
Creative,21,"A startup builds a bicycle + laptop stand for remote workers. This is:","Innovation through combination","Old thinking","Useless complexity","Predictable invention",a
Creative,22,"A student builds a robot that paints murals based on music beats. This thinking is:","Repetitive","Creative cross-domain thinking","Copy-paste","Memorization",b
Creative,23,"A group brainstorms to save office paper. Which idea is most creative?","Print on both sides","Share files digitally with voice-to-text reports","Throw away less","Ban printers",b
Creative,24,"Which project best demonstrates creative CS-based design thinking?","Building a static webpage","Designing AI-driven smart homes","Copying open-source code blindly","Using outdated technology",b
Creative,25,"A new app integrates AR for education and VR for therapy. This is an example of:","Unoriginal work","Multi-domain creative innovation","Purely entertainment","Non-creative reuse",b
System,1,"In a network, a failure in one server slows others. This shows:","Independent components","System interdependence","Isolated processing","Single-point failure",b
System,2,"Which best describes a "system"?","A single isolated process","A collection of interrelated parts","A standalone device","A single line of code",b
System,3,"A software system made of modules communicating with each other is an example of:","Linear thinking","Modular interconnected design","Random architecture","Unrelated components",b
System,4,"Which of these is a feedback loop?","A program running once","A thermostat adjusting temperature","A keyboard sending input","Storing static data",b
System,5,"Which is NOT a property of systems?","Interaction between parts","Emergent behavior","Components working in isolation","Interdependence",c
System,6,"A change in database schema affects APIs and frontends. This shows:","No relationship","Ripple effect","Perfect isolation","Independent coding",b
System,7,"Which of these is an open system in computing?","Program without input/output","Operating system interacting with users/hardware","Encrypted closed file","Fixed circuit board",b
System,8,"When improving performance, a CS student must analyze:","Only hardware","Only software","Interaction of all parts","Ignore environment",c
System,9,"A positive feedback loop typically leads to:","Stability","Exponential growth or decline","No change","Isolation",b
System,10,"Which best describes an emergent property of a system?","A property of a single component","A property that arises from interactions between components","A property that is pre-coded","A property that is a result of random chance",b
System,11,"A car's braking system is connected to the gas pedal. This is an example of:","A single component","A linear process","An interconnected system","A random process",c
System,12,"When a small change in one part of a system causes a large effect elsewhere, this is called:","Predictable outcome","Isolated effect","Leverage point","Random noise",c
System,13,"Which best describes a sub-system?","A system without inputs","A smaller system that is part of a larger one","A single component","A system that is isolated",b
System,14,"A supply chain is a good example of a system because:","It has no components","It has interdependent parts like suppliers, manufacturers, and customers","It is a linear process","It has no feedback loops",b
System,15,"When designing a new feature for a social media app, a developer considers how it will affect user engagement, server load, and privacy. This is an example of:","Linear thinking","System thinking","Isolated development","Brute force",b
System,16,"An AI model generates biased content due to bias in its training data. This shows:","Feedback loop amplification","System interdependence","Static execution","Linear data handling",b
System,17,"Which cybersecurity question reflects systems thinking?","How fast to patch a server?","How do vulnerabilities affect the network?","Which theme color to use?","What is storage limit?",b
System,18,"A student claims optimizing one function improves the system. Which principle challenges this?","Sub-optimization may not improve whole","Isolated optimization improves all","Optimizing one guarantees full gain","Systems unaffected by parts",a
